"BIBLIOGRAFIA";"AUTOR";"TITULO";"FECHA";"CRITERIO";"BLOQUE";"MEDIO";"SOPORTE";"TEMA";"PAIS";"ZONA";"TIPOLOGIA";"NOTAS";"CONCORDANCIA";"Valida"
"Celorio, Gonzalo: Ensayo de contraconquista. México D.F.: Tusquets Editores, 2001.";"Celorio, Gonzalo";"Ensayo de contraconquista";2001;"Primera edición";"No ficción";"Escrito";"Libro";"Ciencias sociales, creencias y pensamiento";"México";"México y Centroamérica";;;"día», Ángel González dice que «para la débil memoria y la mínima experiencia de los niños, la tierra perdida tuvo que convertirse pronto en una borrosa referencia [...].» Creo exactamente lo contrario: la infancia es la zona más intransigente de la vida, la que no hace concesiones, la que más experimenta, la que más se recuerda, la que más fija el corazón. Desarraigado, el corazón escribe estos versos dolorosos que definen el exilio de Luis Rius:Es una sierpe heridaque se arrastra en la noche congeladade un invierno sin tierra.";"no"
"Naveros, Miguel: Al calor del día. Madrid: Alfaguara, 2001.";"Naveros, Miguel";"Al calor del día";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";"No siempre hay coincidencia entre párrafo y salto de línea";"le había inspirado el viejo al que se había encontrado en dos ocasiones: ""No sé si te dará a ti la misma sensación que a mí, pero es que parece que todo se está dando la vuelta, Rafa: cada vez unos pocos viven mejor y los más viven peor, y cada vez los más trabajan más por menos y los menos trabajan más por mucho más, y cada vez hay más puritanismo, y más idiotez, y... Cuando leo estas cosas de Estados Unidos me echo a temblar, Rafael, porque es lo que vamos a tener aquí en pocos años"", y resopló: ""¡Ja!,";"no"
"Sánchez-Andrade, Cristina: Bueyes y rosas dormían. Madrid: Ediciones Siruela, 2001.";"Sánchez-Andrade, Cristina";"Bueyes y rosas dormían";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";"No siempre hay coincidencia entre párrafo y salto de línea";"-¡Uy, Dios santo! No. Los girasoles huelen bien. ¡Qué más da! Te pongo más pan. Los girasoles son mucho mejores que las cebollas. ¡Ojalá tuviésemos girasoles y no cebollas y cebollas y cebollas! Quizá no tengas suficiente pan. Te voy a poner más pan.";"no"
"Etxebarria, Lucía: De Todo lo Visible y lo Invisible. Una novela sobre el amor y otras mentiras. Madrid: Espasa Calpe, 2001.";"Etxebarria, Lucía";"De Todo lo Visible y lo Invisible. Una novela sobre el amor y otras mentiras";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";;"soltarle a Ruth cuatro verdades bien dichas. En realidad, Pedro mantiene un difícil y paradójico equilibrio entre el bostezo y el insulto, pues Ruth le exaspera tanto como harto está de ella, aburrido de esa ansia autodestructiva que no alcanza a comprender, que se le escapa de las manos como el jabón, tanto más esquiva cuanto más se esfuerza uno en atraparla.";"no"
"Etxebarria, Lucía: De Todo lo Visible y lo Invisible. Una novela sobre el amor y otras mentiras. Madrid: Espasa Calpe, 2001.";"Etxebarria, Lucía";"De Todo lo Visible y lo Invisible. Una novela sobre el amor y otras mentiras";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";;"Y es que Ruth resultaba fácilmente reconocible. Porque era rara, distinta, diversa. Siempre lo había sido, y esa conciencia de su diferencia le había hecho muchísimo daño en el pasado. Pero la diferencia, desde los medios, constituye una cualidad para admirar, no para criticar. Lo que más escasea más se desea, y lo que una sociedad considera raro puede adquirir dos valores que Ruth ya había conocido: lo despreciable, lo que se teme por diferente; o lo apreciable, lo que posee el valor de lo único. Así que el famoso se encuentra un día con que tiene bula, y que a";"no"
"Hernández Garrido, Raúl: Los sueños de la ciudad. http://hernandezgarrido.com: hernandezgarrido.com, 2001.";"Hernández Garrido, Raúl";"Los sueños de la ciudad";2001;"Fecha de escritura";"Ficción";"Escrito";"Libro";"Teatro";"España";;"Ficción";;"No va a ser un encuentro amistoso. Sin partido de vuelta, ni ronda de penaltis. Sin más prorrogas. No más revanchas.";"no"
"García Morales, Adelaida: El testamento de Regina. Madrid: Debate, 2001.";"García Morales, Adelaida";"El testamento de Regina";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";;"de Antonia, de algún modo, era un freno para que Ramón tratara de asustarnos en el interior de la casa, en alguna de sus visitas. Antonia era un testigo y alguien capaz de romperle una silla en la cabeza a cualquiera que intentase agredirnos. En cambio, Regina y yo solas estábamos más desamparadas, éramos más impresionables.";"no"
"Criado, Ana: «El usufructo y la usucapión». El ruido de las miradas. Madrid: Lengua de trapo, 2001.";"Criado, Ana";"El ruido de las miradas";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Relato";"España";;"Ficción";;"Lo de la vuelta parecía una excusa magnífica para burlar momentáneamente la trampa en que me había metido. Pero en realidad sólo habría servido para posponer el desenlace, lo que yo más temía y más anhelaba, y tal vez por eso me tembló un poco la voz cuando hice un último intento por escabullirme:";"no"
"Delibes de Castro, Miguel: Vida. La naturaleza en peligro. Madrid: Temas de Hoy, 2001.";"Delibes de Castro, Miguel";"Vida. La naturaleza en peligro";2001;"Primera edición";"No ficción";"Escrito";"Libro";"Ciencias y tecnología";"España";;;;"En cualquier caso, incluso si Némesis existe y nos amenaza, faltarían más de trece millones de años para el previsto turno de una nueva lluvia masiva de cometas. Tal vez, en consecuencia, no sea ésta la posibilidad que más deba preocuparnos. Más grave sería que resultara cierto lo que muchas voces reclaman: « No hace falta esperar la llegada de un meteorito asesino, pues ya estamos metidos de lleno en la sexta extinción.»";"no"
"Beccaria, Lola: La luna en Jorge. Barcelona: Destino, 2001.";"Beccaria, Lola";"La luna en Jorge";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";;"trenzan y estimulan y agarran y... penetra. Penetra Ramón a Sofía con la distancia por delante, con el aullido ronco del pasado a la deriva, abandonado a su suerte, sin que nadie, y menos ellos dos, reencontrados, haga caso de su llamada de auxilio, porque más tienen ellos que perder, más han sufrido ya, más sufrieron y penaron por culpa del pasado, de lo que el pasado mismo está siendo golpeado ahora por las afiladas rocas donde irá a naufragar estrellado en mil pedazos de espanto. Mientras ellos, sobre la playa imaginaria, bajo la luz de la luna que no existe, viven su fuga";"no"
"Zúñiga, María del Mar: Como un asta de toro. León: El paisaje, 2001.";"Zúñiga, María del Mar";"Como un asta de toro";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Teatro";"España";;"Ficción";;"DUEÑO DEL BAR.— Se os va la fuerza por la boca, mira que rajáis y rajáis, más vale que trabajárais más deprisa.";"no"
"CORALES: Presentación del Diccionario de la Real Academia Española, 11/10/01. ";"CORALES";"Presentación del Diccionario de la Real Academia Española, 11/10/01";2001;"Fecha de grabación";" ";"Oral";" ";;"España";;"Discurso";;"pensado // el Diccionario panhispánico de dudas cuya construcción va muy avanzada // ese sí que es un diccionario de choque // ese es un diccionario que pretende dar / respuesta y la va a dar por internet también / de manera inmediata a lo que vaya apareciendo a lo que vaya emergiendo // el Diccionario normativo en cambio es un diccionario que tiene que ser más posado / ya más eh más reposado / de contraste si efectivamente el término ha cuajado está en la lengua literaria etcétera sí";"no"
"Hommes, Rudolf: «LA ENCUESTA». El Tiempo. Bogotá: eltiempo.com, 2001-03-06.";"Hommes, Rudolf";"El Tiempo";2001;"Primera edición";"No ficción";"Escrito";"Prensa";"Actualidad, ocio y vida cotidiana";"Colombia";"Caribe continental";"Noticia";;"los encuestados cree que Serpa manejaría mejor la negociación con las Farc, contra 25 por ciento que cree que Noemí lo haría mejor y solamente 15 por ciento que piensa que Uribe sería el más adecuado. La actitud guerrerista de Álvaro no le ha servido, y sí ha perdido la oportunidad de presentarse como el que más sabe y más ha hecho en educación, campo en el que Noemí va de puntera.";"no"
"Garduño, Roberto ... [et al.]: «Para los pobres, el mayor costo si no hay ""nueva hacienda"": Sahagún». La Jornada. México, D. F.: jornada.unam.mx, 2001-04-04.";"Garduño, Roberto ... [et al.]";"La Jornada";2001;"Primera edición";"No ficción";"Escrito";"Prensa";"Política, economía y justicia";"México";"México y Centroamérica";"Noticia";;"Sobre el controvertido tema del IVA a medicinas y alimentos, la vocera señaló que con el actual sistema, los únicos que se benefician son los que más tienen, porque son los que más consumen, quienes más gastan y quienes no pagan; con la reforma, ""75 por ciento de la recaudación del IVA vendrá de las familias que se ubican en los tres niveles más altos del ingreso"".";"no"
"García Marquez, Gabriel: «Homenaje al amigo». El País. Madrid: elpais.com, 2001-12-16.";"García Marquez, Gabriel";"El País";2001;"Primera edición";"No ficción";"Escrito";"Prensa";"Ciencias sociales, creencias y pensamiento";"Colombia";"Caribe continental";"Crónica";"El país de clasificación textual no coincide con el país de edición. El texto contiene una introducción y citas ajenas al autor";"culta y magnificada de ella, y conocido en medio planeta, no tanto por su poesía como por ser el hombre más simpático del mundo. Por donde quiera que pasaba iba dejando el rastro inolvidable de sus exageraciones frenéticas, de sus comilonas suicidas, de sus exabruptos geniales. Sólo quienes lo conocemos y lo queremos más sabemos que no son más que aspavientos para asustar a sus fantasmas.";"no"
"Ramos, Marisa: «Partidos y grupos políticos en Venezuela (1998-2000): dimensiones ideológicas y cohesión programática». Revista Venezolana de Economía y Ciencias Sociales. Caracas: ucv.ve/fileadmin/user_upload/faces/problemas_sociales_contemporaneos/CESOC/MAYO_AGOSTO_2_2001_EL_PROCESO_POLITICO_VENEZOLANO_VISTO_DESDE_EL_EXTERIOR.pdf, 2001-08-01.";"Ramos, Marisa";"Revista Venezolana de Economía y Ciencias Sociales";2001;"Primera edición";"No ficción";"Escrito";"Prensa";"Política, economía y justicia";"Venezuela";"Caribe continental";"Académico";;"93,1% de los integrantes del MVR la evalúan como estable y muy estable, 100% de los integrantes de Copei aportan una percepción opuesta, como poco o nada estable. en cuanto al resto de los grupos, los de oposición evalúan de forma claramente negativa la percepción de la estabilidad de la democracia, mientras que el MAS presenta unas percepciones más positivas hacia este asunto, pues más de 70% considera que la democracia es estable o muy estable. En referencia a esta visión, lógicamente la diferencia estriba entre ser partido de gobierno, aliado del gobierno o ser partido de oposición.";"no"
"Ramos, Marisa: «Partidos y grupos políticos en Venezuela (1998-2000): dimensiones ideológicas y cohesión programática». Revista Venezolana de Economía y Ciencias Sociales. Caracas: ucv.ve/fileadmin/user_upload/faces/problemas_sociales_contemporaneos/CESOC/MAYO_AGOSTO_2_2001_EL_PROCESO_POLITICO_VENEZOLANO_VISTO_DESDE_EL_EXTERIOR.pdf, 2001-08-01.";"Ramos, Marisa";"Revista Venezolana de Economía y Ciencias Sociales";2001;"Primera edición";"No ficción";"Escrito";"Prensa";"Política, economía y justicia";"Venezuela";"Caribe continental";"Académico";;"los diputados de la Asamblea defiende una mínima intervención en este capítulo, en tanto que los diputados del MVR apoyan una intervención importante. Es destacable la enorme desestructuración en las respuestas a esta pregunta, pues mientras los diputados del MVR se muestran claramente intervencionistas y los del Proyecto Venezuela claramente neoliberales, los de AD y MAS están más cerca de las posiciones de poca intervención, mientras que 50% de los diputados de Copei defiende la intervención en estos dos aspectos, lo que de nuevo resulta relativamente contradictorio con los posicionamientos de los diputados de estos dos partidos en las premisas anteriores.";"no"
"Ramos, Marisa: «Partidos y grupos políticos en Venezuela (1998-2000): dimensiones ideológicas y cohesión programática». Revista Venezolana de Economía y Ciencias Sociales. Caracas: ucv.ve/fileadmin/user_upload/faces/problemas_sociales_contemporaneos/CESOC/MAYO_AGOSTO_2_2001_EL_PROCESO_POLITICO_VENEZOLANO_VISTO_DESDE_EL_EXTERIOR.pdf, 2001-08-01.";"Ramos, Marisa";"Revista Venezolana de Economía y Ciencias Sociales";2001;"Primera edición";"No ficción";"Escrito";"Prensa";"Política, economía y justicia";"Venezuela";"Caribe continental";"Académico";;"general, algo más acusadas con Proyecto Venezuela que con Copei. Con esta última formación, AD mantiene posiciones bien distintas en lo que se refiere a la percepción como amenaza para la democracia del problema de la violencia política, mientras que en el resto de ítems las posiciones son similares. Las diferencias de AD con el MAS son más acusadas, equiparables, en todo caso, a las presentadas con el MVR.";"no"
"«Raíces: un símbolo del Llano». El Tiempo. Bogotá: eltiempo.com/archivo/documento/MAM-430329, 2001-07-03.";;"El Tiempo";2001;"Primera edición";"No ficción";"Escrito";"Prensa";"Artes, cultura y espectáculos";"Colombia";"Caribe continental";"Reportaje";;"Para ellos, que en su mayoría fabricaron y aprendieron a ejecutar sus instrumentos de manera empírica, muchas cosas han cambiado: ""el baile del joropo ya no es el mismo, ahora el que más brinca es el que más baila"", asegura.";"no"
"«Cables combinados». La Prensa de Nicaragua. Informática. Managua: La Prensa, 2001-07-10.";;"La Prensa de Nicaragua. Informática";2001;"Primera edición";"No ficción";"Escrito";"Prensa";"Actualidad, ocio y vida cotidiana";"Nicaragua";"México y Centroamérica";;;"– Peleas ganadas: Cien millones de jugadores han convertido a 'Tomb Raider' en el vídeojuego más vendido, con más de ocho millones copias en circulación.";"no"
"«El despegue del software». El Pais. Montevideo: wwwdiarioelpais.com, 2001-10-04.";;"El Pais";2001;"Primera edición";"No ficción";"Escrito";"Prensa";"Ciencias y tecnología";"Uruguay";"Río de la Plata";;;"Para Lieberman el gran desafío de aquí en más es que más empresas tomen la iniciativa de lanzarse al exterior. ""Hasta ahora Uruguay se ha desarrollado en base al impulso aislado de algunas empresas que hemos logrado salir muy por nuestra cuenta, sorteando las barreras. El gran desafío que tenemos por delante es cómo ayudamos a otras empresas para que de acá a cinco";"no"
"«Impuestos en Canelones I». El Pais. Montevideo: diarioelpais.com, 2001-03-04.";;"El Pais";2001;"Primera edición";"No ficción";"Escrito";"Prensa";"Política, economía y justicia";"Uruguay";"Río de la Plata";;;"dinero se destine a obras en la zona y no armar líos, a veces propiciados por políticos, para no pagar.Parece lógico que las obras se hagan con el dinero de quienes se beneficiarán de ellas y no a costa de vecinos de otras zonas mucho más pobres de Canelones. Es de estricta justicia que quienes más tengan, más paguen.He leído además en El País que la Intendencia estudiará caso por caso y hará importantes descuentos, incluso exonerará a quienes no puedan pagar, y así lo justifique: jubilados, mujeres jefas de familia, etc.Aún en estos casos quien tenga un terreno y no tenga buenos ingresos, se beneficiará";"no"
"«Alianza contra el 'rapero' Eminem». El País. Madrid: elpais.com, 2001-02-27.";;"El País";2001;"Primera edición";"No ficción";"Escrito";"Prensa";"Artes, cultura y espectáculos";"España";;"Noticia";;"de Eminem. Las asociaciones de homosexuales también se han manifestado en contra, lo mismo que las organizaciones de defensa de los niños. Una de ellas, Aibi, se muestra indignada por que la Rai 'autorice la difusión de un mensaje de violencia y de racismo en el transcurso de una de las manifestaciones musicales más amadas y más seguidas por los telespectadores italianos'. Anunciada hace unas semanas con delectación por la presentadora del festival, Raffaella Carrá, la llegada de Eminem ha sido motivo de editoriales, de debates y de polémicas.-";"no"
"«Cualquier parecido con la realidad no es mera coincidencia: Alfredo Bryce Echenique y la reescritura de la vida Remedios Mataix  Universidad de Alicante». Anales de Literatura Española. Alicante: Departamento de Literatura. Universidad de Alicante, 2001-03-03.";;"Anales de Literatura Española";2001;"Primera edición";"No ficción";"Escrito";"Prensa";"Ciencias sociales, creencias y pensamiento";"España";;;;"mismo principio puede considerarse, a mi entender, no sólo la clave estilística de la narrativa de Bryce, sino su núcleo semántico, de donde surge la fuerza de atracción que ejerce su mensaje y, por lo tanto, una de las claves de su éxito: como se sabe, Bryce Echenique es uno de los autores hispanoamericanos más premiados, más traducidos y, lo que es más importante, más leídos actualmente.";"no"
"Rivera Garza, Cristina: La cresta de Ilión. Barcelona: Tusquets Editores, 2004.";"Rivera Garza, Cristina";"La cresta de Ilión";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"México";"México y Centroamérica";"Ficción";;"Creo que había imaginado una vivienda más llena de cosas, más poblada de historias, más marcada por el tiempo. Pero creo que no me decepcionó ver que sólo contaba con los muebles indispensables para una existencia austera y que, bordeado por paredes de colores neutrales y sin ornamentación alguna, dentro del inmueble lo verdaderamente importante eran la luz y las corrientes de aire. Había una";"no"
"Ruiz, Fabiola: Telares. México D. F.: Ediciones Era, CONACULTA-INBA, 2002.";"Ruiz, Fabiola";"Telares";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"México";"México y Centroamérica";"Ficción";;"forasteros tomar sus buenos tragos en la cantina del Quetuta, donde antes se vendían los mentados amarguitos. Van vestidos a la usanza de otra época, los hombres usan pantalones cortos y las mujeres escote hasta las nalgas. Los catrines del pueblo la nombran ""Bar El Talador"". Será que entre más camino más ando y entre más ando más diviso todas las cosas que nos trajo el tal Tereso. A veces como que algo se me apaga por dentro. Entonces nada más camino.";"no"
"Morón Martínez, Tlilkówatl Armando: «La montaña de humo». Crónicas del ombligo. Madrid: Páginas de Espuma, 2002.";"Morón Martínez, Tlilkówatl Armando";"Crónicas del ombligo";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Relato";"México";"México y Centroamérica";"Ficción";;"De repente el anciano. Ahora más está cantando y más siente otra vez que recupera sus ganas. Y mira al cielo que es un espejo negro y por algo que no alcanzamos a ver sus ojos se abren igualito que un abismo: una hoguera de altísimas llamas se ha encendido en sus entrañas, un como vómito olvidado ya es imposible guardarlo";"no"
"Gutiérrez V., Francisco: «SECCIÓN VI. Urgencias en reumatología». Pacheco Rodríguez, Daniel [ed.]: Reumatología para Médicos de Atención Primaria. Santiago de Chile: Tangram, 2002.";"Pacheco Rodríguez, Daniel [ed.]";"Reumatología para Médicos de Atención Primaria";2002;"Primera edición";"No ficción";"Escrito";"Libro";"Salud";"Chile";"Chilena";"Académico";;"El Médico de Atención Primaria debe saber reconocer estas urgencias reumatológicas; en algunos casos comenzar un tratamiento antes que el paciente llegue al reumatólogo: un tratamiento oportuno puede mejorar el pronóstico de una complicación grave. En otros debe saber derivar rápidamente a un Servicio de Urgencia teniendo presente que más vale una derivación de más que una de menos.";"no"
"Jaramillo Agudelo, Darío: El juego del alfiler. Valencia: Pre-Textos, 2002.";"Jaramillo Agudelo, Darío";"El juego del alfiler";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Colombia";"Caribe continental";"Ficción";;"A los pocos días los canales hablaron de la bancarrota de FGL. Precisamente la noche en que se supo la noticia, Taxímetro y Clemencia se emborracharon juntos y a medida que más bebían se miraban con más desolación. Estaban en la ruina. Clemencia sacó los pagarés que miraban sobre la mesa como quien mira su propio cadáver.";"no"
"Cote Baraibar, Ramón: «El cobaya Resea». Páginas de enmedio. Bogotá: Alfaguara, 2002.";"Cote Baraibar, Ramón";"Páginas de enmedio";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Relato";"Colombia";"Caribe continental";"Ficción";;"Esa noche hubo de todo. Como si no fuera suficiente con la carnicería ordenada por el capitán Alvarado -«Cargaos a ese Moctezuma y a cuanto príncipe o notable haya a su lado», me parece recordar sus palabras-, más tarde le siguió la más feroz, la más desquiciada, la más brutal de las venganzas por parte de los aztecas. Ni mancos que fueran.";"no"
"Ramos-Perea, Roberto: Besos de fuego. www.celcit.org.ar: celcit.org.ar, 2012-12-18.";"Ramos-Perea, Roberto";"Besos de fuego";2002;"Fecha de estreno";"Ficción";"Escrito";"Libro";"Teatro";"Puerto Rico";"Antillas";"Ficción";"Fecha de publicación: fecha de descarga del texto fuente";"MERCEDES: Vamos, Vicky bonita, demuéstrame tu pasión por la verdad. (Vicky inicia mutis) No huyas. Ahora que todo estará más claro, más legitimo, más natural... vamos, date vuelta y ven acá.";"no"
"Cadena Baez, Lauro Humberto de la: «Esa mala hora». ""Pumamaque"": poemas y cuentos de mi tierra. Tulcán: Casa de la Cultura Ecuatoriana Núcleo del Carchi, 2002.";"Cadena Baez, Lauro Humberto de la";"Pumamaque: poemas y cuentos de mi tierra";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Relato";"Ecuador";"Andina";"Ficción";;"En sus buenos tiempos era el ""chalán"" de las haciendas. Amaestraba con lujo de casta campesina a los potros más bravos, más remontados, más de raza. Les daba un paso musical de danzarinas. Y cada domingo que venía al pueblo cabalgando un ""alazán"" de buena grupa, con los zamarros café de cuero de venado, las botas de montar y el sombrero de corte mejicano, se paraba en la mitad del parque,";"no"
"Chaljub Mejía, Rafael: Antes de que te vayas... Trayectoria del Merengue Folclórico. Santo Domingo: Grupo León Jimenes, 2002.";"Chaljub Mejía, Rafael";"Antes de que te vayas... Trayectoria del Merengue Folclórico";2002;"Primera edición";"No ficción";"Escrito";"Libro";"Ciencias sociales, creencias y pensamiento";"República Dominicana";"Antillas";"Divulgación";"Se han eliminado los fragmentos de canciones que estaban en párrafo aparte.";"Carmelito Duarte también compone, y de sus composiciones hay una que ha sido la que más ha sonado y lo ha hecho más famoso. Las primeras letras de esta pieza son un verdadero himno al mimo y a la ternura:";"no"
"Chaljub Mejía, Rafael: Antes de que te vayas... Trayectoria del Merengue Folclórico. Santo Domingo: Grupo León Jimenes, 2002.";"Chaljub Mejía, Rafael";"Antes de que te vayas... Trayectoria del Merengue Folclórico";2002;"Primera edición";"No ficción";"Escrito";"Libro";"Ciencias sociales, creencias y pensamiento";"República Dominicana";"Antillas";"Divulgación";"Se han eliminado los fragmentos de canciones que estaban en párrafo aparte.";"l merengue, porque ha estado envuelto en él durante décadas largas y trabajadas. Habla del origen de muchos merengues, de la historia de muchos músicos, y de los recuerdos y experiencias que ha acumulado este hombre inteligente y de memoria lúcida, con el cual es difícil de parar el diálogo, porque mientras él más habla, más deseos les dan a uno de seguir oyéndolo.";"no"
